Y.g F1 F2 R1
0 1 63.82 28
0 1 51.68 13
0 2 58.23 15
1 2 47.44 19
1 2 39.71 11
1 1 49.89 18
1 1 37.75 26
1 1 24.04 4
0 2 61.69 21
1 1 39.13 29
1 3 31.74 14
0 2 59.95 12
0 3 49.88 29
1 3 44 2
1 2 48.22 25
0 3 45.74 12
0 3 59.97 4
0 1 57.28 3
1 1 32.73 32
1 2 53.53 14
0 2 57.27 10
0 1 56.68 31
1 2 25.76 29
0 3 47.65 25
0 3 69.8 20
0 3 57.97 17
1 3 32.91 8
1 3 33.36 1
0 1 54.91 21
0 3 48.26 20
0 1 59.61 12
0 3 52.94 19
1 2 50.81 1
0 1 51.84 24
0 3 51.66 26
1 1 37.3 26
0 2 73.49 11
1 1 35.88 29
1 2 49.83 12
1 2 44.56 21
0 2 68 2
0 3 60.11 13
1 1 44.36 8
1 2 52.05 11
0 3 61.65 25
0 3 72.36 31
0 3 53.02 15
1 3 39.57 23
1 2 40.16 6
0 3 70.06 12
1 1 29.29 23
0 3 80.56 23
1 1 47.39 18
1 2 45.46 23
1 2 51.58 11
0 2 59.33 30
0 3 53.03 28
1 3 30.44 12
0 1 53.54 7
0 1 54.5 6
0 1 56.6 10
1 3 39.69 25
1 3 26.29 25
1 1 46.75 3
1 1 40.56 27
1 2 42.34 13
1 2 40.46 1
1 2 46.02 19
1 3 46.89 20
0 2 57.96 14
0 1 59.86 2
1 3 42.05 14
1 1 46.91 18
0 2 53.61 18
0 1 63.99 10
0 3 49.44 13
1 1 33.01 21
0 1 52.32 27
0 3 48.81 19
0 3 67.72 8
0 1 53.43 28
1 1 43.77 14
1 1 45.6 20
1 1 44.95 19
0 1 51.86 28
0 1 51.76 28
0 1 59.16 15
1 2 53.2 13
1 2 46.33 2
1 2 40.59 19
0 1 56.35 24
1 1 49.38 3
0 1 51.83 20
0 2 61.04 21
0 2 67.52 14
1 2 40.46 17
0 2 66.44 30
1 2 41.33 17
1 1 52.66 23
1 2 52.22 4
1 2 47.23 29
0 2 63.94 25
1 2 43.41 26
0 1 56.61 10
0 1 49.87 14
1 3 40.69 28
0 1 62.15 10
1 2 29.12 5
1 1 44.74 6
1 1 34.59 25
0 3 51.94 20
0 1 52.64 12
1 3 38.81 29
0 1 56.51 4
1 2 39.67 6
0 2 56.59 3
1 2 52.38 28
0 3 57.15 13
1 1 40.62 30
0 3 50.95 1
1 1 45.37 11
1 1 35.31 25
1 1 51.53 20
0 3 67.74 11
1 1 43.52 16
0 3 48 22
0 2 56.89 19
0 1 50.36 19
0 3 69.44 4
0 3 57.37 30
0 2 73.21 19
0 1 53.49 30
1 3 38.66 19
1 2 54.21 11
1 1 40.75 21
1 2 39.93 12
0 3 48.11 32
0 1 59.34 17
1 2 53.44 25
0 2 58.14 14
0 2 59.15 6
1 1 48.28 18
1 1 25.98 27
1 1 48.25 18
0 1 71.69 27
1 2 50.58 1
1 1 36.45 9
1 1 46.32 18
1 3 40.65 13
1 2 49.58 13
0 3 56.76 3
0 1 58.66 12
0 3 52.35 28
1 2 40.66 2
0 1 58.13 18
0 1 63.48 22
0 2 72.52 31
0 3 45.06 16
0 3 54.74 15
0 3 61.94 16
0 3 48.84 31
0 2 55.25 18
0 1 52.14 23
1 2 48.66 5
0 1 51.69 29
0 1 59.65 22
0 3 54.09 9
1 2 45.34 22
1 3 27.6 17
1 3 42.05 21
0 3 49.8 13
1 2 24.86 17
0 2 72.11 9
1 1 35.11 23
1 3 38.39 8
0 3 64.58 11
1 1 28.1 28
0 2 57.39 4
1 1 46.56 30
0 3 54.56 21
0 3 58.78 4
1 1 40.42 18
1 1 42.94 5
1 2 20.03 10
1 1 40.39 8
1 1 53.8 3
0 3 55.05 12
0 2 70.27 28
0 3 50.65 12
0 1 54.64 21
0 3 50.75 3
1 1 45.13 24
0 3 57.49 25
0 3 54.64 21
1 2 51.29 14
1 1 41.85 23
1 2 49.6 24
0 1 57.81 28
0 1 56.76 13
1 3 45.17 27
1 2 43.31 23
0 2 72.19 3
0 3 60.49 13
1 1 51.21 9
1 1 46.87 29
1 3 41.19 4
1 2 45.81 3
1 1 35.17 28
1 3 43.03 30
0 3 61.35 18
0 1 61.12 3
1 3 41.29 15
1 2 52.11 10
1 1 50.69 8
1 2 33.37 16
0 2 58.11 21
1 2 30.88 8
1 1 37.53 21
0 2 59.98 31
1 1 44.59 14
0 1 47.84 11
1 1 33.78 12
1 2 35.49 4
1 2 53.51 29
1 1 48.25 17
1 3 44.09 9
1 1 36.66 5
1 3 39.03 26
0 3 70.36 17
0 3 46.74 5
0 1 57.81 26
0 3 57.85 5
0 1 57.63 13
0 1 52.95 29
1 1 37.48 11
1 2 39.9 27
0 1 57.51 7
1 2 36.92 5
0 3 55.28 26
1 1 44.66 28
0 3 46.02 8
1 1 42.1 13
1 1 47.7 12
0 3 58.77 30
0 1 54.54 13
0 3 47.68 25
0 3 58.7 1
0 3 66.56 3
1 2 49.94 21
0 1 54.7 25
0 1 52.78 17
1 2 40.22 21
1 3 40.73 29
0 3 69.2 17
0 2 58.81 7
0 3 57.42 23
0 1 51.48 11
0 3 54.85 23
0 3 51.52 24
0 3 50.42 30
0 3 52.23 26
1 1 39.9 21
0 1 74.01 31
0 3 58.02 6
0 3 47.49 28
0 1 62.13 26
1 1 43.73 18
0 1 67.11 6
1 1 46.06 3
1 1 26.79 25
0 3 63.64 25
0 3 61.32 23
1 1 42.26 19
1 2 35.9 32
1 3 31.65 30
0 3 47.31 17
1 3 31.66 22
1 2 41.86 28
1 2 51.64 14
0 1 58.56 13
1 2 41.8 6
0 3 48.76 8
0 2 52.55 10
0 2 67.19 1
1 2 40.41 13
1 1 33.96 13
1 1 31.54 9
0 1 55.56 18
1 1 49.4 29
1 2 57.72 8
0 1 48.59 32
0 1 53.93 31
1 2 52.24 10
1 2 50.24 15
1 1 43.77 9
0 1 62.62 29
1 1 45.94 1
0 3 56.67 1
1 2 51.65 14
0 2 67.82 11
0 1 57.11 31
1 2 46.62 30
0 3 49.91 14
0 3 48.75 15
1 1 29.09 14
0 2 66.97 17
0 1 60.64 24
1 1 42.33 2
0 2 53.82 28
0 1 52.42 16
1 1 38.67 8
0 1 64.9 13
1 1 47.52 29
1 2 51.84 26
1 2 54.05 16
1 3 40.06 11
1 2 39.15 25
1 1 49.51 18
0 1 55.76 23
1 2 50.74 29
0 2 57.06 6
0 1 53.35 21
0 1 55.45 13
1 3 35.97 11
0 3 56.77 21
1 1 42.1 22
0 3 45.34 18
1 2 48.95 5
1 2 33.52 23
0 3 49 6
1 3 45.6 16
1 1 42.81 13
1 3 44.45 5
0 1 62.45 16
1 2 37.41 29
1 1 47.85 11
1 1 25.28 31
0 3 43.26 24
1 2 44.99 6
0 2 65.42 6
1 2 40.38 14
1 1 41.28 31
1 3 36.02 7
0 3 51.8 28
0 3 61.54 7
1 2 38.01 21
1 2 45.74 18
0 2 63.66 18
1 1 43.16 21
0 3 56.86 24
0 1 53.9 28
1 3 36.95 29
0 3 62.17 3
0 1 57.95 12
1 2 45.12 26
1 1 40.96 18
1 2 46.1 15
0 3 58.14 12
1 3 44.36 17
1 2 31.26 21
1 2 48.57 5
0 2 57.72 23
1 1 38.41 29
1 2 47.62 4
1 1 37.78 22
0 1 51.17 14
1 2 48.68 19
1 2 49.66 14
1 2 43.78 12
1 3 42.91 27
0 1 58.71 22
0 3 51.05 12
1 2 48.13 30
1 3 17.87 2
1 3 37.24 24
0 3 57.63 15
1 2 45.93 13
1 2 37.92 16
1 1 45.61 19
0 3 46.24 31
1 2 44.99 32
0 3 54.97 26
0 1 65.21 30
0 2 59.88 26
0 2 62.46 19
1 3 46.7 17
0 1 58.44 20
1 2 40.19 9
1 1 48.61 1
0 1 71.85 4
0 1 49.87 7
0 3 46.95 13
1 2 44.16 6
0 1 57.71 4
0 3 71.06 21
0 1 54.12 32
0 3 47.39 13
0 2 70.74 23
1 3 42.21 27
0 3 56.26 8
1 1 45.79 4
1 2 39.78 13
0 3 62.18 3
1 3 32 8
1 2 46.92 13
1 1 50.16 12
1 1 45.58 2
1 3 33.62 23
1 1 43.59 11
1 2 34.43 18
0 1 69.23 9
1 1 31.43 5
1 3 28.94 1
0 3 56.98 26
0 2 59.07 16
0 3 48.04 1
1 2 47.93 32
0 1 57.25 4
0 2 63.99 13
1 2 34.09 32
0 1 63.04 18
0 3 51.96 14
0 3 46.61 13
0 2 62.65 26
0 1 59.4 9
0 1 62.78 28
0 1 47.09 22
0 1 57.76 9
0 2 59.39 14
1 2 44.83 32
0 3 67.57 22
0 3 51.62 28
0 3 49.45 14
1 2 55.29 13
0 1 53.9 19
1 3 42.94 14
0 3 49.47 22
0 2 76.06 1
0 1 49.27 26
1 1 47.04 19
0 2 57.34 29
0 3 54.01 27
1 2 44.62 13
1 2 39.17 27
0 3 58.48 22
1 2 51.19 21
0 3 54.82 7
0 3 47.09 20
1 1 33.48 17
0 3 50.69 12
0 2 73.91 21
1 2 35.38 5
1 3 40.15 7
1 3 36.64 5
1 2 46.35 32
0 1 54.73 3
1 1 48.47 6
1 2 47.79 22
1 1 37.11 15
1 2 50.65 8
0 1 60.35 16
0 1 72.6 19
0 1 63.15 23
1 3 41.3 8
1 2 44.97 32
0 1 56.07 21
1 2 49.9 2
0 1 52.75 13
1 3 36.88 23
1 1 45.73 23
1 2 40.74 3
1 1 40.71 26
1 1 42.81 8
0 3 45.85 19
1 2 49.94 12
0 1 56.33 24
1 1 44.91 6
1 3 41.43 14
0 1 66.16 2
0 1 59.94 7
0 2 56.97 30
0 1 67 32
1 2 40.22 7
0 3 70.49 28
0 1 62.26 16
1 1 53.07 14
0 3 56.24 7
0 1 50.61 30
0 3 48.89 22
1 1 34.24 29
0 3 57.43 7
0 1 71.42 22
0 1 70.9 21
0 1 51.7 17
1 1 48.92 23
1 2 51.82 4
0 1 61.46 16
0 2 64.77 18
1 2 54.08 11
0 3 61.14 6
1 2 49.73 6
0 3 54.98 14
0 2 61.86 4
0 2 86.4 18
1 2 49.46 5
1 3 43.32 18
1 2 54.46 28
1 2 45.94 27
0 1 56.35 12
0 3 53.41 18
0 2 63.16 30
1 3 40.4 12
1 1 37.94 3
0 1 65.68 11
0 3 52.25 15
1 3 40.78 26
1 2 39.26 2
1 1 44.48 10
0 1 55.9 25
1 2 44.73 3
0 1 63.42 4
1 2 52.44 20
1 2 51.96 17
1 2 49.84 10
1 2 47.02 2
0 3 48.32 5
0 2 61.56 32
1 1 36.61 24
0 3 60.87 26
1 1 46.49 14
0 3 57.35 7
0 1 49.42 18
1 2 36.54 4
0 3 53.47 13
1 3 43.62 23
0 2 61.24 6
1 1 41.72 26
1 1 32.12 6
1 1 41.46 15
1 2 44.28 18
1 1 41.74 24
0 3 47.62 29
1 2 44.05 14
1 2 45.89 6
0 3 53.28 22
1 3 38.36 31
0 3 57.6 19
0 3 49.97 13
1 1 49.62 27
1 1 29.64 6
1 1 46.99 31
1 2 44.44 23
0 2 58.47 4
0 3 63.91 22
0 1 62.31 22
1 2 38.87 18
1 2 42.04 12
1 1 49.1 7
1 3 39.4 29
1 1 33.96 18
0 1 57.91 19
1 2 50.68 30
0 1 56.14 25
1 2 37.97 8
0 3 46.6 20
1 1 38.29 16
1 2 41.71 7
0 1 52.29 4
1 2 43.13 2
1 1 40.07 22
1 1 36.94 6
1 3 35.66 22
1 1 41.37 32
0 3 67.04 21
1 2 43.44 22
1 1 38.87 24
1 3 35.94 6
1 2 48.49 7
1 2 46.06 5
1 2 52.52 25
1 3 47.17 28
0 2 58.68 1
0 3 57.2 10
0 1 60.56 17
1 2 52.44 3
0 3 61.14 8
1 2 49.23 11
0 1 59.33 14
0 1 48.42 17
1 2 43.18 5
1 1 37.8 23
1 2 42.91 27
1 1 42.51 20
1 2 55.76 22
1 2 49.48 23
1 3 43.7 26
1 2 41.02 26
1 1 44.22 11
0 3 47.63 9
1 2 37.51 1
1 2 45.7 31
0 3 50.93 22
0 1 58.33 28
0 1 49.15 14
1 2 51.12 22
1 2 39.61 5
0 2 57.96 6
0 1 51 6
0 1 57.37 7
0 2 65.47 7
1 2 51.79 18
1 1 47.17 12
1 3 42.33 26
1 1 44.24 7
1 2 40.85 1
0 3 53.7 1
1 1 35.32 8
1 3 32.55 32
1 3 43.33 19
0 1 60.84 17
0 1 51.23 24
1 1 45.06 19
0 1 56.7 1
0 3 46.49 29
1 1 48.85 12
0 3 50.73 4
0 2 60.89 10
0 3 62.93 29
0 3 62.83 32
0 3 59.79 27
0 3 53.29 12
0 3 68.8 23
0 1 70.43 8
0 3 63.29 15
1 1 47.8 14
1 2 39.6 31
0 1 51.93 15
1 2 44.45 4
0 2 52.75 29
1 2 44.49 1
0 2 59.21 16
0 2 71.89 16
0 3 59.64 19
0 2 57.42 28
0 3 50.37 31
0 2 71.81 6
0 3 49.2 11
0 1 63.76 1
0 2 65.75 30
0 3 51.6 24
1 2 17.47 21
0 3 46.7 6
0 1 54.57 22
1 3 36.96 7
1 2 37.09 19
0 1 53.17 22
1 1 22.04 25
1 2 52.34 14
1 1 47.31 31
1 1 43.41 5
0 2 50.63 26
1 1 50.54 23
1 2 52.47 1
1 2 51.24 13
1 2 44.65 12
0 1 52.58 26
0 1 63.88 27
0 2 56.67 32
0 1 64.97 9
1 1 47.25 15
0 2 55.83 20
0 1 55.03 6
1 3 42.57 11
1 3 41.83 30
0 3 68.7 19
1 1 41.73 19
0 2 59.51 29
1 2 47.34 32
1 1 39.01 27
1 3 34.66 28
1 3 37.94 11
1 2 30.5 17
1 1 48.85 15
0 2 59.73 14
1 1 44.26 9
0 1 67.37 1
0 3 48.27 26
1 1 40.62 13
1 2 47.15 11
1 3 44.11 12
1 2 45.56 6
1 2 50.6 1
1 2 50.82 11
0 2 57.58 27
1 2 55.4 20
0 2 57.77 30
0 1 51.32 6
1 3 41.93 12
0 3 54.49 23
0 1 54.13 15
1 1 45.96 23
1 1 46.12 19
0 2 60.95 13
0 2 63.4 19
1 1 51.14 4
1 1 46.08 18
0 3 66.52 12
1 2 37.56 8
1 2 40.88 22
0 3 58.5 2
1 2 40.75 22
0 2 58.94 30
1 1 40.59 21
0 3 55.39 17
1 2 48.18 27
0 2 58.92 7
0 3 63.29 20
1 1 48.97 30
0 3 56.15 13
1 3 32 1
0 3 47.37 7
1 3 37.9 15
1 2 52.04 20
1 2 49.86 5
1 1 47.65 4
0 3 48.12 8
0 3 59.51 1
1 1 48.46 8
0 1 68.54 24
1 3 30.96 20
1 2 53.59 13
0 1 71.15 22
1 3 38.64 15
1 1 42.04 2
1 1 46.02 24
0 3 50.92 7
1 1 47.61 8
1 2 45.38 2
0 3 69.26 5
1 2 51.22 8
0 3 60.92 17
1 1 20.28 22
0 1 61.28 13
0 3 63.12 21
1 2 45.17 15
0 3 47.75 10
0 2 66.68 30
1 2 50.41 29
0 3 60.38 30
0 3 55.88 5
0 3 48.42 7
0 3 47.08 30
1 2 35.8 27
1 2 28.62 5
1 2 49.77 15
0 3 52.7 21
1 3 44.97 21
0 1 56.31 27
0 1 54.75 2
1 2 46.59 20
0 2 50.5 6
0 3 62.95 14
0 2 53.15 24
0 1 58.02 24
0 3 54.86 26
0 2 67.26 32
0 1 75.86 24
1 3 40.1 4
1 2 45.4 8
0 3 52.38 27
1 1 47.31 21
1 2 48.3 16
0 3 56.65 6
1 3 42.24 26
1 1 30.81 8
0 2 70.19 4
0 3 54.35 30
0 2 60.5 18
0 3 46.88 31
0 3 50.94 20
1 1 28.47 29
0 1 53.58 5
0 3 54.68 8
1 1 40.93 32
1 2 44.71 18
0 3 63.44 14
0 3 54.69 28
1 2 47.47 6
1 2 53.69 21
1 2 36.53 13
0 3 61.72 25
1 3 30.91 10
1 1 39.96 17
0 2 56.77 22
0 3 61.52 7
1 3 21.32 23
0 2 56.01 8
0 3 53.42 27
1 2 49.65 14
1 1 43.74 10
1 1 41.44 11
0 1 51.52 19
0 3 62.06 14
1 1 35.11 1
1 2 39.5 19
0 2 66.38 8
1 3 37.93 14
1 3 23.74 7
1 2 50.17 9
1 2 53.44 17
0 1 50.13 20
1 1 41.27 6
0 1 53.43 13
1 1 48.23 26
0 3 59.21 32
1 2 53.01 13
0 1 56.93 4
0 1 53.25 9
0 3 54.08 28
0 2 57.6 1
1 1 27.13 17
0 1 55.18 31
1 3 36.53 16
0 1 53.63 18
0 3 63.15 21
1 2 45.52 14
1 2 41.92 27
1 1 49.14 10
0 3 65.85 8
1 1 51.01 18
1 2 51.49 14
1 2 44.54 8
1 1 44.72 26
0 3 48.6 32
1 2 34.11 18
0 3 62.34 9
1 1 46.65 9
1 1 29.99 5
1 1 49.83 31
1 2 47.59 32
1 2 32.08 31
0 2 70.5 2
1 1 38.83 27
1 3 36.46 29
0 1 54.51 25
0 1 60.33 17
0 3 48.04 12
0 1 52.27 3
1 3 38.98 9
1 2 59.55 6
1 2 53.13 5
0 3 51.01 23
0 3 57.48 2
0 3 55.15 26
1 1 42.67 13
0 3 54.81 11
1 1 40.11 27
0 2 72.3 21
0 2 54.57 15
1 2 49.64 13
1 1 45.1 24
1 1 47.79 12
1 3 38.99 28
0 3 50.63 8
0 3 55.84 7
1 2 44.87 9
1 3 41.87 12
1 2 33.71 7
0 2 55.69 29
1 3 53.34 26
1 2 47.89 15
1 2 44.49 25
1 2 52.58 23
1 1 36.25 29
1 1 35.27 15
1 3 35.55 15
0 3 46.39 11
0 1 57.91 30
0 2 57.15 20
